dom ; request ; size ; historical ; collinearity
96.0 ; 13.0 ; 56.1669921875 ; 90.15 ; 61.53
187.0 ; 111.0 ; 4871.5927734375 ; 54.41 ; 74.32
1213.0 ; 357.0 ; 3542.8974609375 ; 15.18 ; 66.96
315.0 ; 11.0 ; 853.939453125 ; 78.60 ; 65.38
2230.0 ; 68.0 ; 575.2880859375 ; 35.04 ; 67.11
2885.0 ; 63.0 ; 3086.431640625 ; 26.32 ; 43.95
3112.0 ; 73.0 ; 3342.1396484375 ; 23.63 ; 43.95
226.0 ; 24.0 ; 438.40234375 ; 82.29 ; 62.62
3133.0 ; 73.0 ; 3310.6494140625 ; 23.68 ; 47.60
33.0 ; 7.0 ; 1259.896484375 ; 88.47 ; 77.63
1189.0 ; 271.0 ; 6194.71484375 ; 14.05 ; 69.93
96.0 ; 13.0 ; 56.162109375 ; 90.15 ; 61.53
780.0 ; 14.0 ; 7126.337890625 ; 50.50 ; 70.57
3015.0 ; 777.0 ; 6885.4248046875 ; 5.13 ; 59.70
2239.0 ; 314.0 ; 1971.5908203125 ; 11.41 ; 46.02
17.0 ; 4.0 ; 840.9619140625 ; 91.87 ; 74.47
1041.0 ; 102.0 ; 1566.505859375 ; 33.20 ; 55.46
679.0 ; 157.0 ; 466.1337890625 ; 41.69 ; 46.02
69.0 ; 23.0 ; 3730.51953125 ; 77.17 ; 74.47
2244.0 ; 23.0 ; 1590.4619140625 ; 39.78 ; 58.37
708.0 ; 11.0 ; 194.033203125 ; 66.70 ; 60.89
260.0 ; 48.0 ; 2990.08203125 ; 66.51 ; 71.31
3108.0 ; 71.0 ; 3300.978515625 ; 24.11 ; 47.90
940.0 ; 12.0 ; 342.3125 ; 59.65 ; 64.54
187.0 ; 112.0 ; 4939.2392578125 ; 54.22 ; 74.32
1206.0 ; 90.0 ; 1819.8544921875 ; 31.62 ; 59.80
1481.0 ; 252.0 ; 9445.98046875 ; 10.47 ; 65.48
145.0 ; 31.0 ; 235.2939453125 ; 84.71 ; 61.73
409.0 ; 58.0 ; 2203.306640625 ; 59.71 ; 65.68
159.0 ; 40.0 ; 711.5166015625 ; 79.98 ; 66.47
537.0 ; 12.0 ; 29.1455078125 ; 73.56 ; 75.60
3558.0 ; 38.0 ; 2096.2568359375 ; 34.31 ; 60.40
20.0 ; 1.0 ; 23.271484375 ; 97.14 ; 42.37
92.0 ; 12.0 ; 55.6220703125 ; 90.40 ; 63.90
96.0 ; 13.0 ; 56.1640625 ; 90.15 ; 61.53
3043.0 ; 66.0 ; 3157.7705078125 ; 25.50 ; 47.90
3347.0 ; 47.0 ; 627.29296875 ; 38.83 ; 63.06
651.0 ; 184.0 ; 7613.8193359375 ; 28.61 ; 71.31
16.0 ; 3.0 ; 317.1943359375 ; 94.87 ; 75.41
1518.0 ; 322.0 ; 3908.0927734375 ; 11.49 ; 56.79
120.0 ; 7.0 ; 95.5576171875 ; 89.98 ; 65.14
63.0 ; 4.0 ; 268.8125 ; 91.89 ; 70.17
1248.0 ; 358.0 ; 5628.9248046875 ; 13.10 ; 66.47
1462.0 ; 86.0 ; 2764.3564453125 ; 26.86 ; 55.46
1026.0 ; 2.0 ; 423.7783203125 ; 58.78 ; 55.06
728.0 ; 235.0 ; 3839.689453125 ; 26.32 ; 70.62
1518.0 ; 323.0 ; 4181.4453125 ; 11.20 ; 66.96
1463.0 ; 86.0 ; 2690.837890625 ; 27.00 ; 53.83
1435.0 ; 39.0 ; 1020.6376953125 ; 43.80 ; 61.68
4020.0 ; 212.0 ; 4504.177734375 ; 7.94 ; 43.85
17.0 ; 4.0 ; 840.9619140625 ; 91.87 ; 74.47
31.0 ; 1.0 ; 5.58984375 ; 96.66 ; 64.89
1518.0 ; 323.0 ; 4209.927734375 ; 11.18 ; 66.96
837.0 ; 119.0 ; 4084.259765625 ; 29.99 ; 70.86
1173.0 ; 223.0 ; 117111.6484375 ; 14.34 ; 74.47
1278.0 ; 22.0 ; 347.8427734375 ; 52.40 ; 60.89
113.0 ; 13.0 ; 40.9326171875 ; 89.73 ; 60.69
834.0 ; 109.0 ; 2517.2900390625 ; 33.75 ; 67.90
3062.0 ; 301.0 ; 254031.453125 ; 4.16 ; 74.47
430.0 ; 81.0 ; 2178.326171875 ; 53.73 ; 69.93
1383.0 ; 397.0 ; 2047.8837890625 ; 16.10 ; 63.31
955.0 ; 97.0 ; 59.58203125 ; 43.38 ; 70.17
2640.0 ; 492.0 ; 758.994140625 ; 15.88 ; 57.33
2680.0 ; 186.0 ; 4972.7275390625 ; 8.69 ; 53.83
1081.0 ; 214.0 ; 4194.0712890625 ; 18.03 ; 61.93
3203.0 ; 21.0 ; 799.302734375 ; 43.08 ; 60.89
570.0 ; 70.0 ; 2095.55078125 ; 50.56 ; 62.47
2490.0 ; 777.0 ; 2838.931640625 ; 8.16 ; 39.70
1583.0 ; 318.0 ; 1558.392578125 ; 16.12 ; 37.43
2517.0 ; 166.0 ; 639.9384765625 ; 20.25 ; 68.64
5684.0 ; 1332.0 ; 3318.5458984375 ; 7.14 ; 63.46
