dom ; request ; size ; historical ; distance
360 ; 56 ; 32.75 ; 72.24 ; 99.48
601 ; 161 ; 1119.63 ; 40.63 ; 93.61
514 ; 70 ; 464.51 ; 60.19 ; 98.11
949 ; 65 ; 1280.93 ; 43.62 ; 90.08
526 ; 23 ; 1138.52 ; 66.42 ; 93.87
123 ; 26 ; 28.02 ; 87.40 ; 99.94
704 ; 22 ; 493.28 ; 63.64 ; 97.12
195 ; 8 ; 271.19 ; 86.58 ; 99.57
1024 ; 161 ; 4207.74 ; 21.64 ; 26.85
716 ; 14 ; 674.71 ; 63.57 ; 96.23
307 ; 25 ; 1325.05 ; 74.35 ; 92.79
986 ; 53 ; 2389.21 ; 41.85 ; 73.97
309 ; 62 ; 884.27 ; 68.40 ; 96.57
247 ; 69 ; 825.25 ; 69.48 ; 97.09
1165 ; 99 ; 2319.42 ; 29.16 ; 73.72
422 ; 12 ; 336.09 ; 76.75 ; 98.87
589 ; 130 ; 1819.47 ; 40.74 ; 85.69
935 ; 28 ; 942.39 ; 53.92 ; 93.13
863 ; 203 ; 1711.19 ; 27.73 ; 85.53
338 ; 129 ; 1484.00 ; 52.48 ; 90.91
517 ; 57 ; 1950.52 ; 56.18 ; 84.13
91 ; 3 ; 24.89 ; 91.76 ; 99.97
1043 ; 73 ; 1504.09 ; 38.96 ; 86.93
373 ; 30 ; 878.93 ; 72.93 ; 96.45
845 ; 40 ; 1473.35 ; 51.10 ; 88.76
255 ; 2 ; 195.86 ; 85.58 ; 99.60
779 ; 35 ; 1563.07 ; 53.59 ; 88.11
135 ; 4 ; 8.49 ; 90.42 ; 99.93
987 ; 17 ; 1446.07 ; 52.26 ; 88.06
201 ; 15 ; 169.03 ; 85.97 ; 99.73
134 ; 8 ; 1080.46 ; 84.24 ; 95.38
353 ; 38 ; 853.83 ; 72.33 ; 96.67
700 ; 29 ; 1387.56 ; 57.88 ; 90.59
48 ; 5 ; 423.98 ; 92.32 ; 99.29
368 ; 119 ; 457.58 ; 57.77 ; 98.60
1025 ; 42 ; 537.67 ; 51.52 ; 94.77
1153 ; 24 ; 839.71 ; 51.17 ; 92.07
922 ; 53 ; 1171.64 ; 47.66 ; 91.33
139 ; 2 ; 10.16 ; 90.55 ; 99.92
205 ; 2 ; 26.83 ; 88.30 ; 99.83
1253 ; 96 ; 1200.14 ; 32.48 ; 88.24
412 ; 39 ; 296.82 ; 72.62 ; 98.99
343 ; 75 ; 2508.33 ; 57.83 ; 75.01
572 ; 22 ; 242.25 ; 69.54 ; 98.50
503 ; 30 ; 360.96 ; 70.26 ; 98.50
383 ; 106 ; 553.06 ; 58.40 ; 98.19
188 ; 10 ; 876.88 ; 83.33 ; 96.87
389 ; 38 ; 1090.58 ; 69.56 ; 94.77
178 ; 12 ; 193.63 ; 87.01 ; 99.73
144 ; 6 ; 102.72 ; 89.35 ; 99.88
876 ; 139 ; 925.88 ; 35.08 ; 93.60
927 ; 145 ; 1623.13 ; 29.99 ; 86.31
779 ; 38 ; 740.39 ; 57.02 ; 95.50
1088 ; 23 ; 863.59 ; 52.22 ; 92.48
373 ; 28 ; 300.94 ; 76.40 ; 99.10
193 ; 3 ; 230.10 ; 87.48 ; 99.65
439 ; 12 ; 187.89 ; 76.75 ; 99.11
358 ; 34 ; 172.86 ; 76.54 ; 99.38
785 ; 96 ; 1193.16 ; 41.81 ; 92.02
206 ; 11 ; 738.28 ; 83.34 ; 97.71
469 ; 40 ; 113.58 ; 70.90 ; 99.09
641 ; 132 ; 758.81 ; 43.61 ; 96.09
905 ; 90 ; 2826.35 ; 34.55 ; 65.66
77 ; 9 ; 826.14 ; 87.15 ; 97.32
263 ; 15 ; 138.03 ; 83.89 ; 99.66
180 ; 11 ; 155.38 ; 87.25 ; 99.78
140 ; 22 ; 996.04 ; 82.43 ; 96.06
355 ; 14 ; 264.67 ; 79.68 ; 99.24
745 ; 170 ; 1157.88 ; 34.96 ; 92.50
1028 ; 141 ; 675.26 ; 32.96 ; 94.03
302 ; 63 ; 685.93 ; 69.54 ; 97.80
324 ; 24 ; 1160.47 ; 74.61 ; 94.34
448 ; 65 ; 509.62 ; 63.88 ; 98.19
984 ; 27 ; 744.04 ; 54.16 ; 94.07
746 ; 157 ; 1624.41 ; 33.76 ; 87.46
146 ; 8 ; 839.14 ; 85.15 ; 97.17
432 ; 5 ; 61.26 ; 78.63 ; 99.26
1221 ; 67 ; 1262.69 ; 38.48 ; 87.96
611 ; 122 ; 1827.37 ; 40.92 ; 85.48
503 ; 71 ; 400.78 ; 60.77 ; 98.37
205 ; 55 ; 909.45 ; 73.84 ; 96.60
125 ; 3 ; 7.61 ; 90.85 ; 99.94
1387 ; 116 ; 2114.00 ; 24.37 ; 75.05
801 ; 25 ; 65.72 ; 62.46 ; 97.48
853 ; 104 ; 2580.23 ; 33.86 ; 71.19
76 ; 11 ; 117.68 ; 90.64 ; 99.92
868 ; 199 ; 1136.48 ; 30.34 ; 91.88
181 ; 38 ; 746.37 ; 79.46 ; 97.70
118 ; 3 ; 7.44 ; 91.06 ; 99.95
68 ; 4 ; 146.03 ; 92.03 ; 99.90
88 ; 5 ; 256.64 ; 90.36 ; 99.71
419 ; 66 ; 983.37 ; 62.30 ; 95.53
893 ; 114 ; 1743.25 ; 33.89 ; 85.01
70 ; 7 ; 17.65 ; 92.21 ; 99.98
990 ; 21 ; 570.77 ; 56.03 ; 94.91
699 ; 73 ; 3231.06 ; 43.02 ; 57.41
343 ; 84 ; 2062.24 ; 57.13 ; 82.95
337 ; 34 ; 1354.57 ; 71.30 ; 92.41
1055 ; 41 ; 439.97 ; 51.67 ; 94.90
284 ; 8 ; 730.78 ; 80.90 ; 97.61
98 ; 3 ; 61.78 ; 91.34 ; 99.95
182 ; 1 ; 102.28 ; 89.47 ; 99.83
641 ; 58 ; 268.41 ; 59.26 ; 98.11
561 ; 38 ; 788.00 ; 64.07 ; 96.35
623 ; 32 ; 984.56 ; 61.93 ; 94.71
508 ; 35 ; 1543.94 ; 63.09 ; 89.70
1339 ; 136 ; 1495.72 ; 24.74 ; 84.23
148 ; 3 ; 74.41 ; 89.78 ; 99.89
296 ; 29 ; 1906.63 ; 71.74 ; 85.49
867 ; 58 ; 1688.55 ; 45.48 ; 85.95
66 ; 6 ; 29.21 ; 92.63 ; 99.98
608 ; 100 ; 690.26 ; 49.50 ; 96.67
267 ; 17 ; 193.65 ; 83.13 ; 99.58
262 ; 9 ; 857.92 ; 80.92 ; 96.87
418 ; 9 ; 263.57 ; 77.66 ; 99.05
268 ; 47 ; 511.99 ; 75.62 ; 98.69
629 ; 65 ; 1028.81 ; 53.97 ; 94.32
656 ; 34 ; 861.32 ; 61.05 ; 95.43
61 ; 24 ; 362.02 ; 88.70 ; 99.47
520 ; 18 ; 386.12 ; 71.52 ; 98.36
438 ; 15 ; 704.69 ; 73.71 ; 97.32
688 ; 149 ; 1488.55 ; 36.75 ; 89.44
514 ; 84 ; 2008.98 ; 50.11 ; 83.22
720 ; 49 ; 2075.99 ; 50.42 ; 81.18
1014 ; 54 ; 2307.80 ; 41.27 ; 75.24
65 ; 22 ; 841.68 ; 86.08 ; 97.22
818 ; 126 ; 801.16 ; 38.61 ; 94.83
525 ; 137 ; 852.41 ; 46.94 ; 96.02
865 ; 62 ; 877.58 ; 48.38 ; 94.07
563 ; 9 ; 642.11 ; 69.73 ; 97.16
209 ; 14 ; 1518.77 ; 78.98 ; 90.84
692 ; 19 ; 1267.79 ; 60.42 ; 91.87
994 ; 56 ; 1213.34 ; 45.21 ; 90.40
730 ; 44 ; 1072.42 ; 55.39 ; 93.44
132 ; 20 ; 214.51 ; 87.14 ; 99.75
468 ; 6 ; 1047.04 ; 71.76 ; 94.88
696 ; 41 ; 3171.71 ; 50.70 ; 58.92
404 ; 46 ; 1153.93 ; 66.83 ; 94.17
959 ; 132 ; 1009.50 ; 33.41 ; 92.38
268 ; 47 ; 518.24 ; 75.59 ; 98.67
818 ; 75 ; 2178.82 ; 41.23 ; 78.88
393 ; 78 ; 623.30 ; 62.73 ; 97.86
925 ; 112 ; 988.94 ; 36.83 ; 92.81
815 ; 40 ; 588.03 ; 56.43 ; 96.06
214 ; 8 ; 39.42 ; 87.15 ; 99.82
70 ; 22 ; 656.24 ; 86.65 ; 98.30
1173 ; 145 ; 1441.65 ; 26.22 ; 86.46
415 ; 24 ; 242.28 ; 75.62 ; 99.10
136 ; 30 ; 1005.50 ; 81.08 ; 95.99
58 ; 8 ; 173.78 ; 92.28 ; 99.87
318 ; 20 ; 234.87 ; 80.41 ; 99.39
48 ; 5 ; 323.83 ; 92.84 ; 99.58
1254 ; 28 ; 1509.44 ; 45.67 ; 85.00
326 ; 33 ; 2850.56 ; 67.39 ; 67.93
562 ; 16 ; 803.69 ; 67.95 ; 96.25
268 ; 52 ; 805.48 ; 72.82 ; 97.18
246 ; 45 ; 272.40 ; 78.18 ; 99.47
658 ; 103 ; 1097.95 ; 45.07 ; 93.58
230 ; 56 ; 902.00 ; 72.80 ; 96.61
206 ; 24 ; 885.15 ; 80.53 ; 96.78
899 ; 91 ; 295.12 ; 44.54 ; 96.48
589 ; 9 ; 94.55 ; 71.59 ; 98.61
739 ; 189 ; 1558.37 ; 32.41 ; 88.27
1333 ; 164 ; 1473.01 ; 22.58 ; 84.52
396 ; 12 ; 532.02 ; 76.82 ; 98.29
1380 ; 105 ; 1760.84 ; 27.15 ; 80.46
126 ; 32 ; 1147.65 ; 80.28 ; 94.80
1066 ; 191 ; 4329.17 ; 19.08 ; 22.43
361 ; 46 ; 271.64 ; 73.32 ; 99.20
782 ; 75 ; 3094.57 ; 40.30 ; 60.29
770 ; 34 ; 564.41 ; 59.07 ; 96.45
406 ; 103 ; 2680.16 ; 49.52 ; 71.34
172 ; 11 ; 254.59 ; 87.05 ; 99.63
78 ; 4 ; 15.44 ; 92.08 ; 99.98
58 ; 8 ; 173.56 ; 92.28 ; 99.87
900 ; 17 ; 668.17 ; 58.12 ; 95.10
161 ; 2 ; 26.37 ; 89.79 ; 99.90
108 ; 10 ; 667.50 ; 86.97 ; 98.22
988 ; 19 ; 211.01 ; 58.25 ; 96.02
261 ; 28 ; 2689.12 ; 71.24 ; 71.56
997 ; 174 ; 1480.72 ; 27.07 ; 87.47
1046 ; 45 ; 1899.62 ; 43.97 ; 81.67
1146 ; 100 ; 3181.42 ; 27.59 ; 55.42
445 ; 20 ; 70.37 ; 75.91 ; 99.21
264 ; 47 ; 1964.00 ; 69.01 ; 84.69
502 ; 45 ; 1881.20 ; 59.87 ; 85.23
447 ; 10 ; 155.64 ; 76.82 ; 99.13
1099 ; 43 ; 560.23 ; 49.80 ; 94.07
363 ; 16 ; 883.04 ; 75.75 ; 96.45
139 ; 20 ; 120.43 ; 87.41 ; 99.87
283 ; 8 ; 15.11 ; 84.73 ; 99.69
200 ; 3 ; 287.73 ; 86.98 ; 99.52
319 ; 16 ; 43.33 ; 82.05 ; 99.60
503 ; 30 ; 267.08 ; 70.72 ; 98.73
775 ; 130 ; 1093.94 ; 37.75 ; 92.93
597 ; 150 ; 1269.68 ; 40.83 ; 92.24
879 ; 128 ; 1271.07 ; 34.38 ; 90.63
471 ; 145 ; 955.93 ; 47.82 ; 95.49
424 ; 27 ; 333.64 ; 74.26 ; 98.86
993 ; 59 ; 1695.73 ; 42.42 ; 84.94
181 ; 20 ; 1297.89 ; 79.95 ; 93.31
1106 ; 111 ; 1866.98 ; 29.57 ; 81.61
995 ; 102 ; 3185.07 ; 29.93 ; 56.59
367 ; 39 ; 94.76 ; 75.54 ; 99.43
432 ; 96 ; 2844.75 ; 49.24 ; 67.71
249 ; 18 ; 1419.90 ; 77.35 ; 91.90
467 ; 75 ; 547.01 ; 60.64 ; 97.96
877 ; 75 ; 2174.69 ; 39.74 ; 78.56
480 ; 43 ; 2772.93 ; 58.96 ; 69.14
1084 ; 26 ; 645.87 ; 52.95 ; 93.80
554 ; 55 ; 1020.41 ; 59.17 ; 94.74
343 ; 9 ; 479.32 ; 79.73 ; 98.65
572 ; 100 ; 1021.98 ; 49.08 ; 94.62
1064 ; 162 ; 1002.08 ; 28.82 ; 91.58
172 ; 9 ; 329.72 ; 86.95 ; 99.46
306 ; 27 ; 877.32 ; 76.29 ; 96.63
205 ; 18 ; 1263.73 ; 79.62 ; 93.61
652 ; 77 ; 1429.75 ; 48.57 ; 90.36
577 ; 134 ; 2524.37 ; 38.80 ; 73.81
556 ; 31 ; 308.84 ; 68.22 ; 98.42
1047 ; 43 ; 1616.69 ; 45.47 ; 85.54
240 ; 12 ; 740.29 ; 82.02 ; 97.64
972 ; 98 ; 1456.30 ; 35.68 ; 88.02
172 ; 11 ; 254.47 ; 87.05 ; 99.63
420 ; 24 ; 243.14 ; 75.40 ; 99.08
978 ; 125 ; 1094.87 ; 33.43 ; 91.54
868 ; 69 ; 2631.31 ; 40.14 ; 70.08
594 ; 114 ; 1425.77 ; 44.20 ; 90.66
1037 ; 139 ; 2261.61 ; 26.25 ; 75.81
955 ; 49 ; 1483.53 ; 46.40 ; 87.86
482 ; 25 ; 320.22 ; 72.25 ; 98.69
119 ; 22 ; 446.27 ; 86.03 ; 99.17
250 ; 11 ; 37.33 ; 85.49 ; 99.75
138 ; 13 ; 505.90 ; 86.58 ; 98.93
403 ; 83 ; 676.88 ; 60.98 ; 97.56
281 ; 34 ; 624.42 ; 77.36 ; 98.17
635 ; 86 ; 737.39 ; 50.80 ; 96.28
740 ; 74 ; 961.56 ; 48.62 ; 94.24
445 ; 20 ; 67.49 ; 75.93 ; 99.21
1363 ; 140 ; 3760.77 ; 18.87 ; 37.59
558 ; 98 ; 568.79 ; 52.39 ; 97.49
774 ; 171 ; 1117.72 ; 34.28 ; 92.69
886 ; 135 ; 674.45 ; 36.60 ; 95.10
99 ; 19 ; 221.01 ; 88.26 ; 99.77
248 ; 34 ; 205.42 ; 80.80 ; 99.59
486 ; 86 ; 234.19 ; 59.16 ; 98.84
166 ; 10 ; 1450.05 ; 81.23 ; 91.70
771 ; 45 ; 709.24 ; 55.86 ; 95.72
724 ; 41 ; 145.03 ; 61.12 ; 97.87
325 ; 24 ; 132.41 ; 79.95 ; 99.52
363 ; 30 ; 401.62 ; 75.94 ; 98.85
616 ; 38 ; 470.89 ; 63.76 ; 97.65
417 ; 110 ; 1773.76 ; 50.52 ; 87.02
823 ; 26 ; 104.25 ; 61.44 ; 97.32
896 ; 170 ; 1340.75 ; 30.08 ; 89.76
342 ; 23 ; 2456.71 ; 69.36 ; 76.03
531 ; 70 ; 2164.99 ; 51.86 ; 80.62
440 ; 79 ; 695.16 ; 60.14 ; 97.34
1036 ; 181 ; 3075.43 ; 21.61 ; 58.85
915 ; 96 ; 3755.27 ; 31.91 ; 41.77
233 ; 72 ; 1365.76 ; 66.63 ; 92.50
618 ; 8 ; 140.57 ; 70.40 ; 98.44
855 ; 112 ; 1023.03 ; 38.30 ; 93.03
749 ; 75 ; 536.80 ; 50.44 ; 96.67
161 ; 10 ; 649.21 ; 85.48 ; 98.26
120 ; 12 ; 109.51 ; 89.25 ; 99.90
