operateur;latitude;longitude;CP;ville;url;dom;req;size;EcoIndex;GreenHouseGaz;water;PageChargeeMoins5s;temps_en_secondes;Conso_totale_(MWh);Conso_moyenne_(MWh);Photovoltaique
SFR;50.68912;3.18372;59512;LILLE;https://www.blogger.com/about/?bpli=1;290;43;7279276;63.70;1.73;2.5;1.0;6.24;139819.90090652887;3.473700054819231;144.94509719963025
FREE;49.44855;1.14009;76540;ROUEN;https://recherche.lefigaro.fr/recherche/;420;129;3164057;44.65;2.11;3.1;1.0;2.75;221261.378346931;2.9936595636169803;108.47124628114496
SFR;49.06964;1.39695;27525;LES ANDELYS;https://www.spotify.com/fr/;82;37;8014303;71.73;1.57;2.3;1.0;2.01;1285.23216834937;9.246274592441512;50.449
FREE;49.27501;2.51345;60670;SENLIS;https://www.google.com/;389;22;233898;77.12;1.46;2.1;1.0;2.33;13379.419772087303;6.317006502401939;19.051644895155643
SFR;45.1586;4.12763;43268;YSSINGEAUX;https://www.service-public.fr/;529;127;1123411;46.55;2.07;3.1;1.0;3.17;17986.603423015138;4.248134960560968;520.428
ORANGE;47.55325;-0.23244;49188;ANGERS;https://www.messervices.etudiant.gouv.fr/envole/;705;81;943500;48.49;2.03;3.0;1.0;3.14;2707.110284854537;7.892449810071536;67.77309492039984
BOUYGUES TELECOM;45.84474;4.85433;69033;LYON;https://m.facebook.com/;202;52;897188;74.83;1.50;2.2;1.0;3.3;9527.227194527535;8.060259893847324;129.78290940881615
ORANGE;46.83686;3.46564;58087;NEVERS;https://www.jeuxvideo.com/;3084;10;996067;43.80;2.12;3.1;1.0;3.2;2289.984919890089;5.768223979572012;31.83311104695098
SFR;47.93234;0.18688;72200;LE MANS;https://www.whatsapp.com/?l=fr;1413;218;21509732;11.85;2.76;4.1;1.0;2.46;11135.359824521232;7.1197952842207375;100.94271201300174
FREE;46.68194;-1.04779;85145;LA ROCHE-SUR-YON;https://login.yahoo.com/;346;16;870058;76.65;1.47;2.2;1.0;2.71;3049.9677768536567;6.900379585641757;309.944
ORANGE;48.79826;2.14703;78646;VERSAILLES;https://www.bing.com/;242;6;117261;85.99;1.28;1.9;1.0;1.78;141823.91894157135;3.3183724219464974;35.77
ORANGE;43.67147;6.99406;06112;GRASSE;https://www.whatsapp.com/?l=fr;1413;218;21489914;11.85;2.76;4.1;1.0;2.82;18241.412697565487;8.795280953503127;144.67645537069748
SFR;43.61757;1.02918;32016;AUCH;https://www.impots.gouv.fr/accueil;860;40;155192;57.49;1.85;2.7;1.0;2.68;2327.5595507905564;8.620590928853913;52.11232232315617
FREE;43.55744;1.38042;31555;TOULOUSE;https://meteofrance.com/;1073;65;1889378;38.86;2.22;3.3;1.0;5.94;909274.7598488132;3.048740837593172;26449.093
BOUYGUES TELECOM;43.58474;6.2687;83128;BRIGNOLES;https://www.messervices.etudiant.gouv.fr/envole/;705;81;943500;48.49;2.03;3.0;1.0;2.33;3046.688108629047;6.4548476877734045;137.749
SFR;50.58989;2.96359;59553;LILLE;https://www.service-public.fr/;529;127;1117728;46.59;2.07;3.1;1.0;1.9;12634.924316505529;5.404159245725205;82.68548403168637
ORANGE;43.67793;6.97401;06038;GRASSE;https://www.adobe.com/fr/;748;237;17011531;23.59;2.53;3.7;1.0;3.84;19796.42782313516;10.552466856681855;0.0
FREE;49.08377;0.76321;27051;BERNAY;https://www.bing.com/;242;6;115375;86.00;1.28;1.9;1.0;1.65;8712.805655435637;5.309448906420254;39.99270924759046
SFR;43.48273;4.99606;13047;ISTRES;https://www.allocine.fr/;1591;29;1992754;40.58;2.19;3.2;1.0;3.15;99459.92523693255;4.7477170861106766;4060.330135631752
BOUYGUES TELECOM;49.11675;5.43685;55545;VERDUN;https://www.ubereats.com/fr;190;69;4553255;62.33;1.75;2.6;0.0;10.01;39233.530422775926;3.8879724925949786;169.15642305979978
SFR;43.52888;5.25823;13112;AIX-EN-PROVENCE;https://meteofrance.com/;1073;65;1889378;38.86;2.22;3.3;1.0;5.34;30707.862900626005;8.087401343330525;0.0
ORANGE;47.95791;-3.08949;56128;PONTIVY;https://m.youtube.com/;417;31;22476782;60.50;1.79;2.6;1.0;2.89;5352.843257828884;5.045092608698289;155.063
SFR;43.20742;2.36666;11069;CARCASSONNE;https://www.adobe.com/fr/;748;237;17011649;23.59;2.53;3.7;1.0;3.66;112526.34798807648;4.193111789688347;1809.590443159435
FREE;43.99103;3.60923;30350;LE VIGAN;https://www.whatsapp.com/?l=fr;1413;218;21501909;11.85;2.76;4.1;1.0;2.93;10768.590658361;4.125896803969732;232.57431472210848
BOUYGUES TELECOM;43.4052;4.9842;13077;ISTRES;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;1.0;7.14;36050.11233469987;4.708124896787236;49.894
