dom ; request ; size ; historical ; lsh_knn
594.0 ; 61.0 ; 4478.331 ; 48.10 ; 71.50
3520.0 ; 621.0 ; 638.22656 ; 16.47 ; 66.15
298.0 ; 27.0 ; 4378.046 ; 67.81 ; 71.07
2842.0 ; 44.0 ; 4798.507 ; 29.09 ; 57.40
1473.0 ; 120.0 ; 1529.5088 ; 25.01 ; 48.22
469.0 ; 61.0 ; 14698.973 ; 51.58 ; 72.33
174.0 ; 6.0 ; 25.484375 ; 88.84 ; 70.26
93.0 ; 20.0 ; 6822.2812 ; 74.85 ; 72.85
1533.0 ; 5.0 ; 799.55176 ; 49.82 ; 58.87
273.0 ; 3.0 ; 83.39844 ; 85.36 ; 65.49
20.0 ; 2.0 ; 58.006836 ; 96.11 ; 65.54
1594.0 ; 39.0 ; 1192.1816 ; 41.67 ; 55.50
2220.0 ; 122.0 ; 4889.2656 ; 14.82 ; 63.10
869.0 ; 78.0 ; 547.9238 ; 46.52 ; 57.27
1093.0 ; 112.0 ; 231.30957 ; 37.52 ; 67.65
787.0 ; 131.0 ; 2181.125 ; 33.02 ; 63.88
4180.0 ; 823.0 ; 4864.209 ; 5.94 ; 49.07
1234.0 ; 174.0 ; 773.0654 ; 26.58 ; 55.82
2577.0 ; 247.0 ; 11008.351 ; 5.73 ; 68.81
44.0 ; 5.0 ; 167.66992 ; 93.84 ; 67.86
96.0 ; 13.0 ; 56.21875 ; 90.15 ; 56.52
2220.0 ; 122.0 ; 4888.9893 ; 14.82 ; 63.10
1110.0 ; 152.0 ; 210.28809 ; 32.97 ; 66.78
1580.0 ; 482.0 ; 7025.0576 ; 9.34 ; 67.28
689.0 ; 55.0 ; 3161.0469 ; 47.64 ; 68.98
664.0 ; 32.0 ; 122.86133 ; 65.02 ; 68.99
1519.0 ; 324.0 ; 4407.2656 ; 11.04 ; 64.37
2212.0 ; 549.0 ; 1903.0166 ; 11.61 ; 45.93
321.0 ; 11.0 ; 817.3037 ; 78.54 ; 64.69
2221.0 ; 122.0 ; 4879.458 ; 14.83 ; 62.30
6634.0 ; 256.0 ; 31497.39 ; 5.44 ; 67.42
526.0 ; 39.0 ; 1073.2812 ; 63.71 ; 60.68
1067.0 ; 232.0 ; 13481.518 ; 16.23 ; 72.28
2204.0 ; 64.0 ; 7124.633 ; 24.40 ; 64.85
1459.0 ; 85.0 ; 2677.9062 ; 27.27 ; 59.66
1459.0 ; 86.0 ; 2768.3555 ; 26.87 ; 61.08
2296.0 ; 249.0 ; 29599.316 ; 6.29 ; 71.13
890.0 ; 173.0 ; 1748.3926 ; 28.38 ; 58.97
540.0 ; 103.0 ; 1493.0957 ; 47.53 ; 64.58
203.0 ; 48.0 ; 701.94824 ; 76.71 ; 65.96
96.0 ; 13.0 ; 56.228516 ; 90.15 ; 56.68
582.0 ; 41.0 ; 1052.8818 ; 61.25 ; 59.75
3127.0 ; 73.0 ; 3882.9824 ; 23.01 ; 53.52
1942.0 ; 48.0 ; 1489.8975 ; 36.22 ; 55.05
339.0 ; 15.0 ; 141.8916 ; 80.81 ; 63.19
2218.0 ; 122.0 ; 4853.9717 ; 14.85 ; 62.82
102.0 ; 4.0 ; 273.6836 ; 90.00 ; 65.82
96.0 ; 13.0 ; 56.17871 ; 90.15 ; 56.68
496.0 ; 102.0 ; 3202.3408 ; 44.99 ; 70.17
51.0 ; 2.0 ; 302.11328 ; 93.06 ; 68.40
66.0 ; 1.0 ; 15.029297 ; 94.06 ; 69.33
1609.0 ; 196.0 ; 7656.5234 ; 11.12 ; 68.92
81.0 ; 25.0 ; 2196.997 ; 78.85 ; 73.15
1461.0 ; 86.0 ; 2778.376 ; 26.84 ; 60.81
1520.0 ; 324.0 ; 4397.634 ; 11.04 ; 64.55
1999.0 ; 27.0 ; 1785.1055 ; 39.23 ; 52.33
445.0 ; 43.0 ; 1060.873 ; 66.28 ; 63.12
1208.0 ; 97.0 ; 2415.664 ; 28.58 ; 61.76
3280.0 ; 370.0 ; 24224.99 ; 4.89 ; 71.47
1802.0 ; 190.0 ; 38863.81 ; 9.76 ; 71.80
578.0 ; 81.0 ; 5281.244 ; 43.74 ; 72.20
753.0 ; 13.0 ; 296.03125 ; 64.54 ; 63.98
119.0 ; 66.0 ; 11057.194 ; 63.80 ; 72.85
3127.0 ; 72.0 ; 3302.669 ; 23.90 ; 52.17
1018.0 ; 112.0 ; 958.03906 ; 35.07 ; 48.57
1038.0 ; 67.0 ; 2060.9443 ; 38.39 ; 61.67
1459.0 ; 86.0 ; 2778.2646 ; 26.85 ; 60.81
1142.0 ; 132.0 ; 259.95703 ; 34.07 ; 66.00
907.0 ; 131.0 ; 2128.1182 ; 30.10 ; 62.46
2620.0 ; 612.0 ; 11675.023 ; 4.83 ; 67.81
1530.0 ; 150.0 ; 1784.2773 ; 20.43 ; 51.66
1516.0 ; 323.0 ; 4184.3535 ; 11.21 ; 63.63
3728.0 ; 550.0 ; 8102.425 ; 4.87 ; 61.26
96.0 ; 13.0 ; 56.217773 ; 90.15 ; 56.68
77.0 ; 1.0 ; 93.381836 ; 92.74 ; 51.90
435.0 ; 80.0 ; 654.08203 ; 60.37 ; 55.32
343.0 ; 15.0 ; 266.05078 ; 80.05 ; 54.55
1005.0 ; 21.0 ; 570.0967 ; 55.74 ; 60.03
32.0 ; 2.0 ; 349.4746 ; 93.98 ; 70.66
786.0 ; 43.0 ; 1724.8682 ; 51.07 ; 62.30
1409.0 ; 583.0 ; 5002.4473 ; 11.52 ; 64.82
4027.0 ; 387.0 ; 3914.4355 ; 6.88 ; 47.51
943.0 ; 18.0 ; 563.9414 ; 57.52 ; 59.20
